step,total_steps,loss,kl_loss,policy_ratio,reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
62,500,2.128546,2.128546,0.072211,0.000000,27.927966,712.625000,0.000000,0.000000,8.502167,
63,500,5.238755,5.238755,0.250000,0.000000,21.503518,768.000000,0.000000,0.000000,7.216448,
64,500,2.828641,2.828641,0.327122,0.000000,25.038880,351.625000,0.000000,0.000000,5.785604,
65,500,6.072835,6.072835,0.208437,0.000000,22.809808,543.625000,0.000000,0.000000,7.884454,
66,500,8.513646,8.513646,0.000000,0.000000,24.484496,975.125000,0.000000,0.000000,10.494161,
67,500,7.664434,7.664434,0.027652,0.000000,23.425484,898.000000,0.000000,0.000000,10.232030,
68,500,7.024203,7.024203,0.122752,0.000000,23.348608,896.125000,0.000000,0.000000,10.477352,
69,500,6.729709,6.729709,0.000003,0.000000,23.618230,911.750000,0.000000,0.000000,10.594857,
70,500,9.237312,9.237312,0.056707,0.000000,23.597560,898.000000,0.000000,0.000000,10.548836,
71,500,17.380829,17.380829,0.000000,0.000000,23.408621,1024.000000,0.000000,0.000000,11.096266,
72,500,17.116117,17.116117,0.000000,0.000000,25.007605,942.750000,0.000000,0.000000,11.358342,
73,500,20.646275,20.646275,0.125000,0.000000,21.915650,896.000000,0.000000,0.000000,10.091187,
74,500,25.456371,25.456371,0.000002,0.000000,24.659899,988.250000,0.000000,0.000000,11.547409,
75,500,24.247972,24.247972,0.000000,0.000000,22.058705,1024.000000,0.000000,0.000000,11.585669,
76,500,25.825924,25.825924,0.000000,0.000000,23.553035,1024.000000,0.000000,0.000000,11.673130,
77,500,24.900900,24.900900,0.000004,0.000000,27.056424,1024.000000,0.000000,0.000000,11.730650,
78,500,24.473505,24.473505,0.006246,0.000000,23.563707,1024.000000,0.000000,0.000000,11.735601,
79,500,23.014561,23.014561,0.001291,0.000000,22.709276,962.750000,0.000000,0.000000,11.758393,
80,500,23.622444,23.622444,0.000174,0.000000,23.103821,1024.000000,0.000000,0.000000,11.773355,
81,500,25.182470,25.182470,0.029690,0.000000,23.460320,1024.000000,0.000000,0.000000,11.792542,
82,500,26.339050,26.339050,0.007525,0.000000,23.512231,1024.000000,0.000000,0.000000,11.808819,
83,500,26.707371,26.707371,0.001141,0.000000,23.442847,1024.000000,0.000000,0.000000,11.822757,
84,500,26.392502,26.392502,0.001514,0.000000,23.429337,1024.000000,0.000000,0.000000,11.838817,
85,500,26.596588,26.596588,0.085561,0.000000,23.460275,1024.000000,0.000000,0.000000,11.848934,
86,500,26.080690,26.080690,0.571932,0.000000,23.491090,1024.000000,0.000000,0.000000,11.849340,
87,500,25.812319,25.812319,0.305377,0.000000,23.431718,1024.000000,0.000000,0.000000,11.846802,
88,500,26.061594,26.061594,0.024549,0.000000,23.457430,1024.000000,0.000000,0.000000,11.846308,
89,500,25.763014,25.763014,0.002414,0.000000,23.160707,1024.000000,0.000000,0.000000,11.860454,
90,500,27.184782,27.184782,0.087969,0.000000,23.143378,1024.000000,0.000000,0.000000,11.872528,
91,500,27.165810,27.165810,0.663518,0.000000,23.206744,1024.000000,0.000000,0.000000,11.876219,
92,500,25.519218,25.519218,1.084573,0.000000,22.775160,963.625000,0.000000,0.000000,11.875590,
93,500,26.739323,26.739323,0.450786,0.000000,23.513171,1024.000000,0.000000,0.000000,11.875484,
94,500,26.653725,26.653725,0.063447,0.000000,23.426745,1024.000000,0.000000,0.000000,11.878208,
95,500,26.743093,26.743093,0.027768,0.000000,23.639001,1024.000000,0.000000,0.000000,11.885649,
96,500,25.650330,25.650330,1.116206,0.000000,24.307824,1024.000000,0.000000,0.000000,11.886265,
97,500,25.619616,25.619616,1.084575,0.000000,23.633083,1024.000000,0.000000,0.000000,11.883902,
98,500,24.794935,24.794935,0.201218,0.000000,23.422412,1024.000000,0.000000,0.000000,11.886458,
99,500,25.509924,25.509924,0.076538,0.000000,23.433246,1024.000000,0.000000,0.000000,11.891459,
100,500,25.351963,25.351963,0.353202,0.000000,23.422482,1024.000000,0.000000,0.000000,11.893954,0.0
101,500,26.067505,26.067505,0.425911,0.000000,23.452228,1024.000000,0.000000,0.000000,11.894954,
102,500,26.555939,26.555939,0.241667,0.000000,23.570181,1024.000000,0.000000,0.000000,11.896851,
103,500,28.317089,28.317089,1.269593,0.000000,23.545793,1024.000000,0.000000,0.000000,11.895473,
104,500,27.339094,27.339094,0.386876,0.000000,23.573019,1024.000000,0.000000,0.000000,11.893398,
105,500,27.484293,27.484293,0.142379,0.000000,23.449897,1024.000000,0.000000,0.000000,11.894214,
106,500,27.377939,27.377939,0.200276,0.000000,23.614222,1024.000000,0.000000,0.000000,11.899604,
107,500,24.569679,24.569679,0.861166,0.000000,23.437651,1024.000000,0.000000,0.000000,11.899557,
108,500,25.793310,25.793310,0.428753,0.000000,23.350038,1024.000000,0.000000,0.000000,11.899216,
109,500,25.951838,25.951838,0.301297,0.000000,23.483924,1024.000000,0.000000,0.000000,11.901880,
110,500,25.585413,25.585413,1.274899,0.000000,23.393659,1024.000000,0.000000,0.000000,11.901702,
111,500,25.857750,25.857750,0.733297,0.000000,23.516189,1024.000000,0.000000,0.000000,11.899155,
112,500,26.247463,26.247463,0.112679,0.000000,23.433668,1024.000000,0.000000,0.000000,11.901219,
113,500,26.361916,26.361916,1.947280,0.000000,23.523379,1024.000000,0.000000,0.000000,11.906254,
114,500,26.133097,26.133097,1.046901,0.000000,23.490036,1024.000000,0.000000,0.000000,11.906958,
115,500,25.895754,25.895754,0.510414,0.000000,23.581246,1024.000000,0.000000,0.000000,11.906196,
116,500,27.255049,27.255049,0.184461,0.000000,23.544801,1024.000000,0.000000,0.000000,11.907791,
117,500,26.922905,26.922905,0.362468,0.000000,23.459172,1024.000000,0.000000,0.000000,11.908833,
118,500,26.258598,26.258598,2.018671,0.000000,23.505756,1024.000000,0.000000,0.000000,11.906487,
119,500,25.909088,25.909088,0.417682,0.000000,21.799554,1024.000000,0.000000,0.000000,11.903747,
120,500,26.565914,26.565914,0.209514,0.000000,23.483489,1024.000000,0.000000,0.000000,11.905519,
121,500,26.685593,26.685593,0.278955,0.000000,23.483225,1024.000000,0.000000,0.000000,11.910235,
